[ 2017-06-16T15:17:23+08:00 ] /User/index.html | SQL: SELECT u.id,u.username,u.names,u.mobile,u.status,u.timeadd,u.lasttime,at.title,au.username as addusername,case when u.status=0 then '已禁用' when u.status=1 then '使用中' end as statusname FROM user u LEFT JOIN auth_type at on at.id=u.typeid LEFT JOIN auth_group ag on ag.id=u.groupid LEFT JOIN (select username,id as addid from user) as au on au.addid=u.adduser WHERE ( u.groupid = 1 ) ORDER BY u.groupid,u.timeadd LIMIT 0,15   [ RunTime:0.008214s ]

[ 2017-06-16T15:17:24+08:00 ] 127.0.0.1 /User/index.html
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007250s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005811s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SELECT * FROM `auth_group`  [ RunTime:0.005014s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth_rule` [ RunTime:0.006176s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.005304s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.004536s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007006s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006732s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.004945s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SELECT * FROM `auth_group`  [ RunTime:0.004527s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.005873s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007179s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.004263s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SELECT * FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005698s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM user u [ RunTime:0.005004s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SELECT COUNT(*) AS tp_count FROM user u LEFT JOIN auth_type at on at.id=u.typeid LEFT JOIN auth_group ag on ag.id=u.groupid LEFT JOIN (select username,id as addid from user) as au on au.addid=u.adduser WHERE ( u.groupid = 1 ) LIMIT 1   [ RunTime:0.005524s ]
[ 2017-06-16T15:17:24+08:00 ] /User/index.html | SQL: SELECT u.id,u.username,u.names,u.mobile,u.status,u.timeadd,u.lasttime,at.title,au.username as addusername,case when u.status=0 then '已禁用' when u.status=1 then '使用中' end as statusname FROM user u LEFT JOIN auth_type at on at.id=u.typeid LEFT JOIN auth_group ag on ag.id=u.groupid LEFT JOIN (select username,id as addid from user) as au on au.addid=u.adduser WHERE ( u.groupid = 1 ) ORDER BY u.groupid,u.timeadd LIMIT 0,15   [ RunTime:0.005719s ]

[ 2017-06-16T15:17:34+08:00 ] 127.0.0.1 /User/index.html
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006968s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005773s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SELECT * FROM `auth_group`  [ RunTime:0.004881s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth_rule` [ RunTime:0.006365s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.005958s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005299s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007116s ]
