[ 2017-06-29T15:26:28+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-06-29T15:27:01+08:00 ] 127.0.0.1 /Index/bindverify
[ 2017-06-29T15:27:00+08:00 ] /Index/bindverify | INFO: Tag[ route_check ] --START--
[ 2017-06-29T15:27:00+08:00 ] /Index/bindverify | INFO: Run CheckRoute Behavior [ RunTime:0.000468s ]
[ 2017-06-29T15:27:00+08:00 ] /Index/bindverify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000524s ]
[ 2017-06-29T15:27:00+08:00 ] /Index/bindverify | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-29T15:27:00+08:00 ] /Index/bindverify | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-06-29T15:27:00+08:00 ] /Index/bindverify | INFO: Tag[ app_begin ] --START--
[ 2017-06-29T15:27:00+08:00 ] /Index/bindverify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000369s ]
[ 2017-06-29T15:27:00+08:00 ] /Index/bindverify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000392s ]
[ 2017-06-29T15:27:00+08:00 ] /Index/bindverify | NOTIC: [8] Undefined variable: system CommonAction.class.php 第 131 行.
[ 2017-06-29T15:27:01+08:00 ] /Index/bindverify | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\newjieba1\www\Lib\Action\CommonAction.class.php on line 158 and defined Action.class.php 第 305 行.
[ 2017-06-29T15:27:01+08:00 ] /Index/bindverify | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-06-29T15:30:12+08:00 ] 127.0.0.1 /Index/realname
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | INFO: Tag[ route_check ] --START--
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | INFO: Run CheckRoute Behavior [ RunTime:0.000963s ]
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | INFO: Tag[ route_check ] --END-- [ RunTime:0.001082s ]
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | INFO: Tag[ app_begin ] --START--
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000634s ]
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000668s ]
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | NOTIC: [8] Undefined variable: system CommonAction.class.php 第 131 行.
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | INFO: Tag[ view_template ] --START--
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | INFO: Run LocationTemplate Behavior [ RunTime:0.000705s ]
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | INFO: Tag[ view_template ] --END-- [ RunTime:0.000746s ]
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | INFO: Tag[ view_parse ] --START--
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-06-29T15:30:12+08:00 ] /Index/realname | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
