[ 2017-06-28T17:19:30+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-06-28T17:19:36+08:00 ] 127.0.0.1 /Index/getPayMoney
[ 2017-06-28T17:19:36+08:00 ] /Index/getPayMoney | INFO: Tag[ route_check ] --START--
[ 2017-06-28T17:19:36+08:00 ] /Index/getPayMoney | INFO: Run CheckRoute Behavior [ RunTime:0.000487s ]
[ 2017-06-28T17:19:36+08:00 ] /Index/getPayMoney | INFO: Tag[ route_check ] --END-- [ RunTime:0.000543s ]
[ 2017-06-28T17:19:36+08:00 ] /Index/getPayMoney | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-28T17:19:36+08:00 ] /Index/getPayMoney | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-06-28T17:19:36+08:00 ] /Index/getPayMoney | INFO: Tag[ app_begin ] --START--
[ 2017-06-28T17:19:36+08:00 ] /Index/getPayMoney | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000357s ]
[ 2017-06-28T17:19:36+08:00 ] /Index/getPayMoney | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000382s ]
[ 2017-06-28T17:19:36+08:00 ] /Index/getPayMoney | NOTIC: [8] Undefined variable: system CommonAction.class.php 第 129 行.
[ 2017-06-28T17:19:36+08:00 ] /Index/getPayMoney | NOTIC: [8] Undefined index: common CommonAction.class.php 第 144 行.
[ 2017-06-28T17:19:36+08:00 ] /Index/getPayMoney | NOTIC: [8] Undefined index: common CommonAction.class.php 第 144 行.
[ 2017-06-28T17:19:36+08:00 ] /Index/getPayMoney | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\newjieba1\www\Lib\Action\CommonAction.class.php on line 156 and defined Action.class.php 第 305 行.
[ 2017-06-28T17:19:36+08:00 ] /Index/getPayMoney | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-06-28T17:19:50+08:00 ] 127.0.0.1 /Index/getPayMoney
[ 2017-06-28T17:19:50+08:00 ] /Index/getPayMoney | INFO: Tag[ route_check ] --START--
[ 2017-06-28T17:19:50+08:00 ] /Index/getPayMoney | INFO: Run CheckRoute Behavior [ RunTime:0.000371s ]
[ 2017-06-28T17:19:50+08:00 ] /Index/getPayMoney | INFO: Tag[ route_check ] --END-- [ RunTime:0.000430s ]
[ 2017-06-28T17:19:50+08:00 ] /Index/getPayMoney | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-28T17:19:50+08:00 ] /Index/getPayMoney | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-06-28T17:19:50+08:00 ] /Index/getPayMoney | INFO: Tag[ app_begin ] --START--
