[ 2017-06-29T10:56:25+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-06-29T10:56:28+08:00 ]  127.0.0.1 /agent/loan_history | ERR: (ThinkException) 无法加载模块Agent
[ 2017-06-29T10:56:31+08:00 ] 127.0.0.1 /Loan/loan_history
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | INFO: Tag[ route_check ] --START--
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | INFO: Run CheckRoute Behavior [ RunTime:0.000712s ]
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | INFO: Tag[ route_check ] --END-- [ RunTime:0.000817s ]
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | INFO: Tag[ app_begin ] --START--
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000538s ]
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000580s ]
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8] Undefined variable: system CommonAction.class.php 第 131 行.
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8] Undefined index: common CommonAction.class.php 第 146 行.
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8] Undefined index: common CommonAction.class.php 第 146 行.
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8] Undefined index: p LoanAction.class.php 第 45 行.
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8] Undefined index: s LoanAction.class.php 第 47 行.
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8] Undefined index: common CommonAction.class.php 第 146 行.
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | INFO: Tag[ view_template ] --START--
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | INFO: Run LocationTemplate Behavior [ RunTime:0.000732s ]
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | INFO: Tag[ view_template ] --END-- [ RunTime:0.000768s ]
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | INFO: Tag[ view_parse ] --START--
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-29T10:56:31+08:00 ] /Loan/loan_history | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
