[ 2017-07-07T14:04:29+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-07-07T14:04:42+08:00 ] 127.0.0.1 /Member/resetpwd
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | INFO: Tag[ route_check ] --START--
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | INFO: Run CheckRoute Behavior [ RunTime:0.001143s ]
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | INFO: Tag[ route_check ] --END-- [ RunTime:0.001271s ]
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | INFO: Tag[ app_begin ] --START--
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000977s ]
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001058s ]
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | NOTIC: [8] Undefined variable: system CommonAction.class.php 第 131 行.
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | INFO: Tag[ view_template ] --START--
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | INFO: Run LocationTemplate Behavior [ RunTime:0.000668s ]
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | INFO: Tag[ view_template ] --END-- [ RunTime:0.000711s ]
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | INFO: Tag[ view_parse ] --START--
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-07-07T14:04:42+08:00 ] /Member/resetpwd | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
